english,farsi
on the other side,در مقابل
on the other side,ازطرفديگر
on the other side,ازسويديگر
on the point of,در شرف
on the right,سمت راست
on the side of,در کنار
on the side of,کنار
on the top of,برفراز
on the top of,در بالاي
on the verge of,در آستانه
on the whole,من حيث المجموع
on time,بوقت
on time,سر وقت
on time,سرساعت
on top of,در راس
on top of,برفراز
on top of,به بالاي
on top of,دربالاي
on top of,بر بالاي
onagism,درمالي
once,يک مرتبه
once,فقط يکبار
once,يکبار
once,يکروز
once,يکمرتبه
once again,يکبار ديگر
once again,بار ديگر
oncoming,جلو رونده
oncoming,روي دهنده
ond shot,دريک حمله
one,عدد يک
one,يکي
one,عين همان
one,يکي
one,شماره يک
one,احد
one,يک واحد
one,يک عدد
one,يک
one after another,پشت سر هم
one another,همديگر
one another,يکديگر
one another,هر يک
one by one,دانه دانه
one by one,دانه دانه
one dying before another,پيش مرگ
one fourth,يک چهاردهم
one fourth,ربع
one fourth,يک چهارم
one fourth,چاريک
one horse,يک اسبه
one hundred,يکصد
one hundred,يک صد
one moment,دمي
one pass,يک گذري
one thousand,يک هزار
one track,يک راهه
one track,کوتاه فکر
one who does not fast,روزه خوار
one who seeks will find,جوينده يابنده است
one-day,يکروزه
one-eyed,يک چشم
one-month-old,يکماهه
one-sided,يکسره
one-sided,يکسو
one-sided,يکجانبه
one-six,شش يک
one-way,يکسره
one-way,يکراهه
one-way,يکطرفه
oneness,وحدت
oneness,يکي بودن
oneness,يگانگي
oneness,احديت
onerous,طاقت فرسا
onerous,کمر شکن
oneself,خود شخص
oneself,خويش
onetime,يکوقتي
onetime,يکوقتي
onetime,يک زماني
ongoing,درحال پيشرفت
onion,پياز
onionskin,پوست پياز
only,فقط بخاطر
only,تنها
only,منحصرا
only,فقط
only,تنها
only,فقط
only,صرفا
only,يگانه
onomastics,علم اللغات
onomatopoeia,صداواژه
onshore,واقع در ساحل
onshore,روي ساحل
ontogeny,فرد بالش
ontologist,هستي شناس
ontology,علم موجودات
ontology,هستي شناسي
onward,بجلو
onward,بجلو
onward,بسوي جلو
onward,بسوي جلو
onward,به پيش
onyx,عقيق رنگارنگ
onyx,باباغوري
onyx,سنگ باباقوري
onyx,عقيق سليماني
oogamous,تخمگان
oops,زکيسه
ootheca,محفظه تخم
oozy,لجن آلود
oozy,پرلجن
opacity,کدورت
opal,عين الشمس
opal,عينالهر
opalescence,شيري رنگي
opalescent,شيري رنگ
opalline,شيري رنگ
opaque,غير شفاف
opaque,مات
opaque glass,شيشه مات
opaqueness,تاري
OPEC,اوپک
OPEC's Ministerial Monitoring Sub-Committee,کميته نظارتي اوپک
OPEC's Supervisory Committee,کميته نظارتي اوپک
open,مفتوح
open,فراز
open,افتتاحکردن
open,دل باز
open,مفتوح کردن
open,باز کردن
open,باز شدن
open,علني
open,باز
open,فاش
open,ميداني
open,سرگشاده
open,وا کردن
open,گشادن
open circuit,اتصال باز
open house,جشن عمومي
open one's mouth,دهان باز کردن
open sea,درياي آزاد
open sesame,مفتاح رمز
open sesame,مشکل گشا
open space,فلکه
open-doored,در خانه باز
open-minded,آزاد فکر
open-minded,متعظ
opened,گشوده
opened,گشاده
opener,باز کننده
opener,افتتاح کننده
opener,مفتح
opener,باز کن
opener,گشاينده
openhanded,گشاده دست
opening,ژور
opening,دهانه
opening,افتتاح
opening,جاي خالي
opening,چاک
opening,چشمه
opening,منفذ
opening,گشايش
opening ceremonies,مراسم گشايش
opening verse,مطلع
openings,منافد
openly,آشکارا
openly,علنا
openning,روزنه
opera,آهنگ اپرا
opera,اپرا
operand,عملوند
operant,کار کننده
operant,فعاليت کننده
operate surgery,جراحي کردن
operation,عمل
operation,عمل جراحي
operation,عمل کرد
operation,عملکرد
operation analysis,عمل کاوي
operation decoder,عمل شناس
operation rules,رمزالعمل
operational,داير
operational,عملياتي
operationalism,مکتب عملي
operationism,مکتب عملي
operations,عمليات
operator,متصدي
operator,عمگر
operator,عملگر
operetta,اپرت
ophidian,وابسته بمار
ophidian,شبيه مار
ophiology,مبحث مارشناسي
ophiology,مار شناسي
ophiology,مارشناسي
ophite,مرمر مصري
ophitic,شبيه مار
ophiuroid,مارسان
ophthalmologist,چشم پزشک
ophthalmologist,چشم پزشک
ophthalmology,چشم پزشکي
opiate,افيون دار
opine,اظهار نظر کردن
opinion,زعم
opinion,مظنه
opinion,عقيده
opinion,نظر
opinion,نظريه
opinion,ظن
opinion poll,سنجش افکار
opinion poll,نظرخواهي
opinion poll,نظرسنجي
opinion poll,نظر خواهي
opinions,اذهان
opinions,عقايد
opium,وافور کش
opium,افيون
opium,ترياک
opium smoking pipe,وافور
opponent,دشمن
opponent,معارض
opponent,حريف
opponent,معارض
opponent,مقاوم
opportune,بموقع
opportune,بهنگام
opportunism,فرصت طلبي
opportunist,فرصت طلب
opportunist,استفاده جو
opportunist,وقت شناس
opportunist,سودجو
opportunity,موقع
opportunity,فرصت
opportunity,مجال
opposable,مخالفت کردني
oppose,معترض شدن
oppose,مصاف دادن
oppose,مخالفت کردن
oppose,در افتادن
oppose,متضاد کردن
oppose,ضديت کردن
oppose each other,معارظه کردن
opposed,ناموافق
opposer,معترض
opposer,معترض
opposer,مقاوم
opposing,مخالف
opposing,متقابل
opposite,مقابل
opposite,عکس قضيه
opposite,محاذي
opposite,روب رو
opposite,روبرو
opposite,محاذي
oppositeness,تقابل
opposition,طرفيت
opposition,مخالفت
opposition,ضديت
opposition,ضدييت
opposition,معاندت
opposition,معارضه
opposition,جناح مخالف
opposition,اپوزيسيون
oppress,جبر کردن
oppress,جفا کردن
oppress,اجحاف کردن
oppress,ظلم کردن
oppress,درمضيقه قرار دادن
oppress,ذليل کردن
oppress,تعدي کردن
oppress,جور کردن
oppress,مردم آزاري کردن
oppressed,ستم ديده
oppressed,ضلم ديده
oppressed,مظلوميت
oppressed,مظلوم
oppressed,جفل کش
oppressed,ستمديده
oppressingly,بيداد گرانه
oppression,جور
oppression,ستم
oppression,ظلم
oppression,مستضعف
oppression,ستمگري
oppression,بيداد
oppression,بيدادگري
oppression,مظلوميت
oppression,مردم آزاري
oppressive,طاقت فرسا
oppressive,ناراحت کننده
oppressive,ستمگر
oppressive,ستمآميز
oppressive,غم افزا
oppressive,ستم پيشه
oppressive,ستمکار
oppressive,زورگو
oppressively,جابرانه
oppressively,ستمگرانه
oppressor,زورگو
oppressor,بيدادگر
oppressor,جابر
oppressor,جابر
oppressor,بيداد گر
oppressor,ستمگر
oppressor,خودکامه
oppressor,بيداد گر
oppressor,مدم آزار
oppressors,مستبدين
opprobrious,ننگ آور
oppugn,بمبارزه طلبيدن
opression,اجحاف
opression,تعدي
opressor,جبار
optic,شيشه عينک
optic,چشمي
optical,بصري
optician,عينک فروش
optician,عينک ساز
optician,عينک ساز
optics,نورشناسي
optimality,بهينگي
optimism,خوش بيني
optimism,نيک بيني
optimist,خوشبين
optimist,خوشبين
optimist,خوش بين
optimistic,خوش بينانه
optimization,بهينهسازي
optimize,بهينه سازي
optimize,بهينهساختن
optimized,بهينه شده
option,خيار
optional,خياري
optional,دلبخاه
optional,اختياري
optometer,ديدسنج
optometer,ديد سنج
optometrist,عينک ساز
optometry,عينک سازي
optometry,عينک فروشي
opus,قطعه موسيقي
oqaf,اوقاف
or,يا
or,يا
or,چه چه
oracular,غيبي
oracularly,غيبگويانه
oral,لساني
oral,دهاني
oral,دهني
oral surgery,جراحي دهان
oral test,امتحان شفاهي
orally,از راه دهان
orally,لفظا
orally,از راه دهان
orally,تقريراً
Orang,اورنگ
orange,نارنجي
orange,پرتقالي
orange,پرتقال
orange juice,افشره نارنج
orange juice,آب پرتقال
orange peel,خلال نارنج
orange pekoe,چاي زرين
orangeade,شربت نارنج
orangery,مرکبات
orangery,نارنجستان
orangoutang,نسناس
Oranus,اورانوس
orate,نطق کردن
oration,خطابه
orator,سخن پرداز
orator,نطاق
orator,خطيب
oratory,فن خطابه
oratory,شيوهسخنراني
oratory,سخن پردازي
orb,کروي شدن
orbit,مسير دوران
orbit,دور گشتن
orbit,مدار
orchard,درختستان
orchard,باغ
orchestra,جايگاهارکست
orchestra,ارکستر
orchestra,ارکست
orchestrate,ارکست تهيه کردن
ordain,وضع کردن
ordeal,کار شاق
order,سفارش دادن
order,راسته
order,دستور
order,فرمودن
order,دستور دادن
order,سامان
order,ترتيب
order,فرمان دادن
order,نظم
order,امر کردن
order,امرکردن
order,انتظام
order,نظام
order,سفارش
order,حکم دادن
order,فرمان
order,حکم کردن
order,امر
order arms,پافنگ
order format,قالب سفارش
order in advance,ازپيش سفارش دادن
order of heirarchy,سلسله مراتب
ordered,مرتب
ordered,دستوري
ordering,مرتب سازي
ordering,سفارش دهي
orderly,نظمي
orderly,مصدر
orders,اوامر
orders,احکام
Ordibehesht,ارديبهشت
ordinary,عادي
ordinary,بي شکوه
ordinary,متعارفي
ordinary,معمولي
ordinary fraction,کسر متعارفي
ordinate,رست
ordination,برگماري
ordnance,تخشايي
ordonnance,سبک معماري
ore,سنگ معدن
organ,ارگان
organ,عضو
organ,اندام
organ,ارغنون
organ,ارگ
organ,آلت
organ of prnounciation,مخرج
organdie,پارچه ارگاندي
organic,آلي
organic,اندامي
organic,عضوي
organic,جهازي
organic acid,اسيد آلي
organic compounds,ترکيبات آلي
organism,اندامگان
organism,سازواره
organist,نوازنده ارگ
organizable,قابل تشکيلات دادن
organization,سازماندهي
organization,تشکيلات
organization,سازمان
Organization of the Islamic Conference,سازمان کنفرانس اسلامي
organizational,سازماني
organizational,تشکيلاتي
organizational grid,شبکه سازماني
organize,مرتب کردن
organize,سازمان دادن
organize,متشکل کردن
organize,متشکل ساختن
organized,متشکل
organized,متشکله
organized,متشکل
organizer,موسس
organizer,موسس
organizer,برگزار کننده
organizer,برگزارکننده
organizing,متشکله
organizing,برگزار کننده
organography,عضو شناسي
organology,اندام شناسي
organon,سبک علمي
organon,عضو بدن
organs,جوارح
organzine,ابريشم بافي
organzine,ابريشم تابيده
organzine,قيطان ابريشمي
orgasm,اوج لذت جنسي
orgasm,شور شهواني
orgasm,آب مني آوردن
orient,درخشندگي بسيار
orient,کشورهاي خاوري
orient,جهت يابي کردن
orient,شرق
oriental,مشرقي
oriental,زردپوست
oriental,شرقي
oriental,زردپوست
oriental race,نژاد زرد
orientalism,خاورشناسي
orientalist,مستشرق
orientalist,خاورشناس
orientalist,مستشرق
orientalist,خاورشناس
orientate,جهت يابي
orientation,جهتيابي
orientation,جهتيابي
oriented,جهت دار
oriented,گرويده
oriented,متمايل به
oriflamme,شعله زرين
oriflamme,قوت قلب
origin,منبع
origin,منشاً
origin,منشا
origin,جرثومه
origin,مبدا
origin,گوهر
origin,مصدر
origin,اصل
origin,ريشه
origin,سنخ
origin,تخمه
origin,خاستگاه
original,اصل
original,جرسي
original,ابتکاري
original,عينا
original,اصلي
original,عينا
original document,بنچاق
originate,ناشي شدن
originator,سبب ساز
originator,بنيانگذار
oriole,پري شاهرخ
Orkideh,ارکيده
Orlando,اورلاندو
ormolu,مفرغ زرنما
ornament,زيور
ornament,دستينه
ornament,پيرايه
ornament,زينت
ornament,زيب
ornament,حليه
ornamented,طلاکوب
ornithologic,وابسته به پرنده شناسي
ornithologist,پرنده شناس
ornithology,پرنده شناسي
ornithology,مرغ شناسي
orobanche,گل جاليز
orogeny,ايجاد کوه
orologist,کوه شناسي
orologist,کوه شناس
orotund,بلند صدا
orphan,طفل يتيم
orphan,يتيم کردن
orphan,يتيم
orphan,مادر مرده
orphan,مادر مرده
orphan,يتيم
orphan,پدرمرده
orphan,پدرمرده
orphanage,دار ال ايتام
orphanage,دارالايتام
orphanage,پرورشگاه
orphanage,يتيم خانه
orphanage,پرورشگاه يتيمان
orphaned child,بچهبي صاحب
orphaned child,بچهسر راهي
orpiment,زرنيخ
orrery,جهان نما
orrery,افلاک نما
orthodox,مطابق مرسوم
Orthodox,فريور
Orthodox,ارتودوکس
orthodox,فريور
Orthodox,فريور
orthodox,راشد
orthodox,فريور
orthodox Moslem,حنفي
orthodox Moslem,حنفي
orthodoxy,فريوري
Orthodoxy,فريوري
orthodoxy,ارتدکسي
orthogenesis,جبر زمان
orthogonal,متعامد
orthography,درست نويسي
orthography,املا صحيح
orthography,املاء
orthopedics,شکستهبندي
orthopedist,استخان پزشک
orthopedist,استخوانپزشک
orthopedist,شکسته بند
orthoptera,راست بالان
ortolan,توکا
Orzoom,ارضروم
Osama Ben Ladin,بن لادن
Osama Ben Ladin,اسما بن لادن
Osama Bin Laden,اسامه بن لادن
oscar,جايزه اسکار
oscillate,مردد بودن
oscillation,نوسان
oscillator,نوسانساز
oscillator,نوسانگر
oscillogram,نوسان سنج
oscillogram,نوسان نگار
oscillograph,نوسان نگار
oscilloscope,اسيلوسکوپ
osculation,اشتراک صفات
osier,جگن
Oslo,اسلو
Oslovanian,اسلوانيايي
osmosis,راند
osprey,هماي
osprey,مرغ استخوان خوار
osset,استي
ossicle,استخوان چه
ossify,استخواني شدن
ossify,استخواني کردن
osteal,مربوط باستخوان
osteal,شبيه استخوان
ostenation,خودفروشي
ostensible,قابل نمايش
ostentation,علم فروشي
ostentation,خود فروشي
ostentatious,خود فروش
ostentatious,خودنما
ostentatious,خودفروش
osteoid,استخوان مانند
osteoid,استخوان وار
osteologist,استخوان شناس
osteology,استخوان شناسي
osteopath,استخوانپزشک
osteoporosis,پوکي استخوان
ostiary,دربان کليسا
ostler,مهتر اصطبل
ostracism,نفي بلد
ostrich,شتر مرغ
ostrich,شترمرغ
ostrich-like,شتر مرغ گونه
otchard,باغ ميوه
other,ديگر
other,ساير
other,ديگر
other,دگر
other,دگر
other,نوع ديگر
other officials,ديگر مقامات
other than,سواي
other than that,ماعدا
other than that,غيره
otherguess,جور ديگر
otherguess,نوع ديگر
others,ديگران
otherwise,ورنه
otherwise,وگرنه
otherwise,والا
otherwise,طور ديگر
otherwise,در غير اين صورت
otherwise,در غير اين صورت
otherwise,وگرنه
otherwise,اگر نه
otherworld,عالم باقي
otherworld,عالم ثاني
Ottawa,اتاوا
ottoman,عثماني
Ottoman,عثماني
ottoman,کشور عثماني
oubliette,سياه چال
ouch,آخ
ouch,اوخ
ounce,اونس
our,مال ما
our,موجود درما
our,متعلق بما
our,مال خودمان
our,ما
ours,ما
ourselves,خودمان
ourselves,مال ما
ouster,محروم سازي
ouster,بيبهره سازي
out,بيرون
out,افشا شده
out and out,کامل سرتاسر
out of,خارجاز
out of,بيروناز
out of,بيرون از
out of door,فضاي آزاد
out of doors,فضاي آزاد
out of fashion,از مد افتاده
out of place,بيمورد
out of shape,بد هيکل
out of the way,غيرقابل دسترس
out of tune,ناساز
out taker,بيرون برنده
outage,قطع برق
outbound,رهسپار دريا
outbreak,شيوع
outcome,آخرين شماره
outcome,برآمد
outcome,مآل
outcome,بر آمد
outcrop,برون زد
outcrop,سر بيرون کردن
outdated,قديمي شده
outdoing,بس پردازي
outdoors,هواي آزاد
outdoors,درهواي آزاد
outer,بيروني
outer space,جو خارجي
outfall,ريزشگاه
outfit,لوازم فني
outfit,بنه سفر
outfit,جامه رو
outfit,ساز وبرگ
outflow,جريان بخارج
outflow,بيرون ريزي
outgrowths,زوايد
outgrwth,گوشت زيادي
outguess,سبقت جستن
outlandish,بيگانه وار
outlandish,بيگانه وار
outlaw,ممنوع ساختن
outlaw,غير قانوني اعلام کردن
outlaw,قانون شکن
outlaw,ياغي
outlaw,ياغي شمردن
outlaw,ياغي
outlawed,منحه
outlay,بيرون گستردن
outlet,در رو
outlet,کليد و پريز
outlet,دررو
outlive,بيشتر دوام آوردن
outlook,چشم داشت
outlook,چشم انداز
outlook,چشمانداز
outlying,پرت
outmaneuver,درمانور جلو افتادن
outmatch,عقب گذاشتن
outmode,غير مرسوم
outmode,از مد افتادن
outmoded,دمده
outmoded,از مد افتاده
outmoded,ازمد افتاده
outpatients,سرپائي
outpost,پايگاه مرزي
outpour,بيرون ريختن
outpour,بيرون ريزش
outpour,بيرون روان شدن
outpourer,بيرون ريزنده
outpourer,بيرون ريزنده
outpouring,نشد
outpouring,بيرون ريز
outpouring,بيرون ريز
outpouring,بيرون ريزش
output,برونداد
output,بازده
outrage,سخت عصباني شدن
outrage,بيشرفي
outrage,هتک حرمت
outrageous,بيداد گرانه
outrageous,عصباني کننده
outrageous,رسوايي برانگيز
outrageous lie,دروغ شاخدار
outrageousness,رسوايي
outrank,رتبه بالاتر داشتن
outreach,فرارسيدن از
outrider,جلودار
outrider,جلودار
outright,يکجا
outright,يکجا
outrunning,سبقت
outsell,بهتر فروش رفتن
outset,ابتدا
outshine,بيشتر درخشيدن
outside,بيرون
outside,به بيرون
outside,برون
outside,دست بالا
outside,بروني
outside of,خارج از
outside of,خارج
outside of,در بيرون
outside of,در بيرون از
outside of,بيرون
outsize,اندازه غيرمعمولي
outskirts,حومه
outsole,زيرکفش
outspoken,بي پرده
outspoken,رک گو
outspoken,رو دار
outspokenness,رک گوئي
outstand,بيشترايستادن
outstand,برجستگي داشتن
outstanding,واريز نشده
outstanding,شخيص
outstanding,مبرز
outstay,اقامت طولاني کردن
outstrip,عقب گذاشتن
outturn,فرآورد
outward,بطرف خارج
outward,بطرف خارج
outward appearance,نما
outwards,بطرف خارج
outwear,بيشتر دوام کردن
outweigh,مهمتربودن از
outwork,سنگر خارجي
outwork,بهانجام رساندن
oval,بادامي
oval object,جسم تخم مرغي
ovarian,تخمداني
ovary,تخمدان
oven,اجاق
oven,اجاق گاز
oven,تنور
over,بربالاي
over,دربالاي
over,متجاوز از
over,براثر
over,بالاي سر
over,بر
over,بر سر
over,در بالاي
over,برسر
over,بر بالاي
over there,آن طرف
over there,آنطرف
overabundant,بسيار فراوان
overall,من حيث المجموع
overall,لباس کار
overall,بالاپوش
overall,رويهم رفته
overambitious,جاه طلب
overbalance,لنگر دادن
overbalance,چربيدن بر
overbearing,طاقت فرسا
overbearing,منکوب گر
overboard,روي کشتي
overboard,بدريا
overburden,گران بار شدن
overcapitalize,سرمايه شرکتي را
overcharge,قيمت اضافي
overcharge,زياد حساب کردن
overcoat,پالتو
overcome,چيره شدن
overcome,غلبه يافتن
overcome,درهم شکستن
overcome,مغلوب ساختن
overcome,مغلوب
overcoming,غلبه
overcrowd,انبوه شدن
overdevelop,نور زياد ديدن
overdose,دواي زياد خوردن
overdue,سر رسيده
overdue,موعد رسيده
overestimate,دست بالا گرفتن
overestimate,زياد برآورد کردن
overflow,آگندن
overflow,سرريز
overflow,لبريز بودن
overflow,طغيان کردن
overflow,طغيان
overflowing,سرشار
overflowing,لبريز
overgarment,رو لباس
overgarment,رولباس
overglaze,لعاب ثانوي
overhang,مشرف بودن
overhaul,سراسر بازديد کردن
overhead,بالاسري
overhear,استراق سمع کردن
overheat,دو آتشه کردن
overheat,زياد گرم کردن
overheated,دوآتشه
overindulge,افراط کردن
overindulge,افراط ورزيدن
overlap,اشتراک داشتن
overlap,روي هم افتادن
overload,بارگران
overload,زياد بار کردن
overload,بار اضافي
overloaded,گرانبار
overloaded,گران بار شدن
overlook,نديده گرفتن
overlook,اغماض کردن
overlook,چشم انداز
overlooking,مشرف
overmuch,بمقدار زياد
overnight,يک شبه
overnight,شبانه
overpass,پل هوايي
overpass,گذشتن از
overproduction,بس فرآوري
overrefinement,آراستگي فراوان
overripe,بسيار رسيده
overseas,ماوراء بحار
overseas,آنطرف درياهامج
overseer,سرکار
overset,واژگون ساختن
overshadow,تحت الشعاع قراردادن
overshadow,تحتالشعاع قرار دادن
overshadowed,تحت الشعاع
overshoe,روکفشي
overshoe,روکفش
overshoe,گالش
overshoot,اضافه جهش
oversimplify,خيلي سهل گرفتن
oversimplify,زياد ساده کردن
oversized,بزرگ اندازه
oversoul,روحالارواح
overstate,اغراق آميز کردن
overstatement,اغراق
overstatement,غلو
overstock,زياد ذخيره کردن
overstock,زياد پر کردن
overt,نپوشيده
overthrow,مضمحل کردن
overthrow,منقرض کردن
overthrow,سرنگوني
overthrow,سرنگون کردن
overthrow,نگون کردن
overthrow,بر انداختن
overthrown,مظمحل
overthrown,منقرض
overtime,اضافه کار
overtness,علنيت
overtone,مفهوم فرعي
overtone,شديد الحن
overtone,صداي فرعي
overture,آغاز عمل
overture,پيش درآمد
overture,پيش درامد
overturn,چپه کردن
overturn,واژگون شدن
overturn,واژگون کردن
overturned,واژگون
overuse,استعمال مفرط
overweigh,سنگيني کردن
overweight,سنگيني زياد
overweight,گرانبار کردن
overweight,وزن زيادي
overwhelm,سراسر پوشاندن
overwhelm,مستغرق درانديشه شدن
overwrite,جاي نوشتن
overwrought,پر کار
overwrought,کار برده
overy,مبيظ
ovicidal,کشنده تخم
oviduct,تخمراهه
ovine,شبيه گوسفند
ovservation,مراقبت
ovservation,مشاهده
ovservation,قوه مشاهده
ovular,تخمکي
ovulate,توليد اوول کردن
ovulate,تخمک دادن
ovule,اوول
ovule,تخمچه
ovum,تخمک
ovum,تخم
ovum,ياخته ماده
ow,بهبه
owe,بدهکار بودن
owe,مرهون بودن
owe,مديون بودن
owe,مديون بودن
owened,ملکي
owing,مقروض
owl,جغد
owl,مرغ حق
owl,بوف
owlish,جغدي
own,صاحب بودن
own,مال خودم
own,مالک بودن
own,صاحب شدن
owned,ملک دار
owned,خردهمالک
owner,مالک
owner,صاحب
owner,دارنده
owner,مالک
owner's interest,بهره مالکانه
ownership,ملکيت
ownership,دارندگي
ownership,مالاکيت
ownership,مالکيت
ownership right,حق مالکيت
ox,نره گاو
oxeye,چشم بزرگ
oxeye daisy,گل داودي
Oxford,اکسفورد
Oxford,آکسفورد
oxidation,ترکيب اکسيژن
Oxide,اکسيد
oxus,آمودريا
Oxus,جيحون
oxus,جيحون
oxus,سيحون
oxygen,اکسيژن
oxygen welding,جوش اکسيژن
oxygenate,اکسيژن آميختن
oxygenate,اکسيژن زدن
oxygenated,اکسيژنه
oxymel,سکنجبين
oxyphil,اسيد دوست
oxyphil,اسيد گراي
oxyphile,اسيد گراي
oyster,صدف
Ozi Dayan,اوزي دايان
Ozo,اوزو
ozone,اوزون
Ozone Layer,لايه اوزون
Ozra,عذرا
P-53,پي ۵۳
pace,شلنگ
pace,خرام
pace,گام زدن
pacer,يورقه
pacific,صلح جو
Pacific Ocean,اقيانوس کبير
Pacific Ocean,اقيانوس آرام
pacifier,آرام کننده
pacifism,صلحجويي
pacifist,آرامش طلب
pacify,آرامش دادن
pack,عدل کردن
pack,بسته بندي کردن
pack,انباشتن
pack,بسته کردن
pack,پاکت
pack,پشت هم اناختن
pack off,رخت بر بستن
package,بسته
packaged,بستهاي
packed,باذرف
packer,بسته بند
packing,باربندي
packing,بسته بندي
packing needle,سوزن جوالدوز
packsaddle,پالان
packsaddle maker,پالان دوز
pact,معاهده
pact,ذمه
pact,عهد
pact,عهدنامه
pacts,عهود
pad,تشک چه
pad,عرقگير
pad,دستک
pad,لحافک
padding,پيزر
paddle,پارو زدن
paddler,پارو زن
paddy,مزرعه شاليکاري
Padideh,پديده
padre,پدر روحاني
padre,قاضي عسکر
pagan,غير مسيحي
pagan,مشرک
paganize,مشرک کردن
page,صفحه
page through,ورق زدن
pageant,مراسم مجلل
paginate,صفحه بندي کردن
Paglahat,پاگلاهات
pagoda,بتکده
pagoda,بتخانه
pagoda,پاگودا
paid leave,مرخصي با حقوق
pain,درد
pain,داء
pain,دردمندي
pain,رنگ کردن
pain,رنج
pain,وجع
pain,الم
pain,محنت
pain,درد کردن
pain,درد دادن
pain,تالم
pain killer,مسکن
pain killer,دردکش
pained,منقش
painful,محنت زا
painful,دردمند
painful,جگر سوز
painful,تالم آور
painful,دردناک
painful,سوزناک
painful,دردآور
painful,رنجور
painful,دردي
painful,ناراحت کننده
painful,اليم
painful,پردرد
painful urination,اطام
painfull,دردمند
painkiller,مسکن
painless,بيدرد
painlessness,بيدردي
pains,آلام
pains,سکرات
painstaking,رنجبر
painstaking,زحمت کش
paint,رنگ
paint,رنگ زدن
paint,رنگ و روغن زدن
paint,رنگ کردن
paint,رنگ آميزي کردن
paint,نگاشتن
paint,رنگ شدن
paint,منقش کردن
paint,نگارگري کردن
paint,نقاشي کردن
paint,نقش کردن
painted,نگارين
painted,نگاشته
painted,مصور
painter,نگارگر
painter,نقشبند
painter,رنگزن
painter,نقاش
painter,رنگزن
painter,مصور
painter,صورت ساز
painter,نگارنده
painter,رنگ زن
painter,پيکرنگار
painter,بت نگار
painting,تابلو
painting,رنگ زني
painting,نگارش
painting,نقاشي
painting,نگار
painting,تابلو نقاشي
painting,نگاشت
pair,زوج
pair,جفت
pair,لنگه
pair,جفت
pairedness,زوجيت
pairwise,دوبدو
pairwise,جفت جفت
paiter,نقشبند
pajama,پيژامه
pajama,لباس خواب
Pakistan,پاکستان
Pakistani,پاکستاني
pal,رفيق شدن
palace,کاخ
palace,دولت سرا
palanquin,پالکي
palatable,خوش ذائقه
palatal,حنکي
palatal,وابسته سق
palate,سق
palate,سقف دهان
palate,حنک
palatinate,کنت نشين
palating,شبيه کاخ
palating,وابسته بسق
palating,کنت نشين
palaver,گفتگوي مفصل
pale,پژمرده
pale,زردچهره
pale,کم رنگ
pale,زردرو
pale,رنگ رفتن
pale,رنگ باخته
pale,ميلهدار کردن
pale,خزانهديده
pale,رنگ پريده
pale,ناحيه محصور
pale,رنگ پريده شدن
pale green,شير در قرابه
paleasance,دلپذيري
paleness,روي زردي
paleness,رنگ پريدگي
paleobiology,ديرين زيست شناسي
paleolith,پارينه سنگ
paleolithic,پارينه سنگي
paleontologist,ديرينه شناس
paleontologist,ديرين شناس
paleontologist,ديرينه شناس
paleontology,ديرين شناسي
paleontology,ديرينشناسي
paleozoic,ديرين زيوي
paleozoology,سروکار دارند
Palestine,فلسطين
Palestinian,فلسطيني
Palestinian,فلسطيني
palette,تخته شستي
palfreys,مراکب
palinode,صنعت انکار
palladian,معرفتي
pallet,ماله صافکاري
palliate,موقتا آرام کردن
palliator,کاهش دهنده
pallid,کم رنگ
pallor,زرد رنگي
palm,نخل خرما
palm,نخل
palm,کف هرچيزي
palm grove,نخلستان
palmatifid,شکافته پنجه
palmistry,کف شناسي
palmistry,کف بيني
palmy,نخلي
palpable,قابل لمس
palpate,شاخک دار
palpebral,پلکي
palsy,زمين گيري
pamper,نازپرورده کردن
pamper,متنعم کردن
pampered,نازپرورده
pamphlet,جزوه
pamphleteer,جزوه نويس
pan,گودال آب
pan of scale,کپه
panacea,اکسير
panacea,اسقولوفندريون
panacea,علاج عام
panacea,نوشدارو
Panama,پاناما
pancake,نان ساجي
pancreases,لوزالمعده
pancreases,پانکراس
pandemic,ناخوشي همه گير
pandemic,جانگير
pandemonium,کاخ شيطان
pander,جا کشي کردن
pane,قاب شيشه
panegyric,مداحانه
panegyrical,مداحانه
panegyrical,مداحانه
panel,تخته کوبي کردن
paneling,قاب سازي
paneling,قاب چهارچوب
panelling,تخته کوبي
pang,سوزش ناگهاني
panhandle,زمين باريکه
panhandle,تکدي کردن
panic,دست و پاي خود را گم کردآن
panic,دست پاچه شدن
panic,دستپاچه کردن
panic,دست پاچگي
panick,دستپاچگي
panicky,دست پاچه
panicky,دستپاچه
Panj Sheer,پنجشير
panjabi,زبان پنجابي
pannikin,ليوان کوچک
panoply,سلاح کامل
panoply,کاملا مجهز
panorama,چشم انداز
panoramic,چشم اندازدار
pant,تند نفس کشيدن
Pantea,پانتهآ
pantheism,وحدت وجود
pantheism,وحدت وجود
panties,تنکه
panting,له له
pantofle,کفش راحتي
pantry,شربت خانه
pantry,گنجه
pantry,دولاب
pantry,آبدارخانه
pantry service,آب داري
pants,شلوار
pantywaist,شلوار کوتاه
pap,نوک پستان
papa,کشيش ناحيه
papacy,سمت پاپي
papacy,قلمرو پاپ
paper,کاغذ
paper,کاغذي
paper,برگ
paper,ورق
paper clip,گيرهکاغذ
paper cutter,کاغذبر
